subjet,eda,bvp,temp,emotion
1,0.0,-0.03,31.63,0
1,0.04,5.06,31.63,0
1,0.08,17.91,31.63,0
1,0.08,79.34,31.63,0
1,0.08,228.25,31.63,0
1,0.08,-486.47,31.63,0
1,0.08,-5.02,31.63,0
1,0.09,160.09,31.63,0
1,0.09,63.4,31.61,0
1,0.09,35.3,31.61,0
1,0.08,-22.52,31.61,0
1,0.09,10.78,31.61,0
1,0.08,79.85,31.59,0
1,0.09,157.88,31.59,0
1,0.09,61.42,31.59,0
1,0.08,3.83,31.59,0
1,0.09,-3.45,31.57,0
1,0.08,-7.97,31.57,0
1,0.09,-12.42,31.57,0
1,0.09,-27.72,31.57,0
1,0.09,-116.2,31.57,0
1,0.09,-391.69,31.57,0
1,0.08,-67.77,31.57,0
1,0.08,32.32,31.57,0
1,0.08,55.27,31.55,0
1,0.09,16.29,31.55,0
1,0.09,-10.43,31.55,0
1,0.09,19.7,31.55,0
1,0.08,-35.76,31.51,0
1,0.09,60.46,31.51,0
1,0.08,38.33,31.51,0
1,0.08,4.61,31.51,0
1,0.08,22.61,31.49,0
1,0.08,-10.86,31.49,0
1,0.08,26.54,31.49,0
1,0.08,20.89,31.49,0
1,0.08,-18.3,31.51,0
1,0.09,14.75,31.51,0
1,0.08,-15.46,31.51,0
1,0.08,-21.16,31.51,0
1,0.08,22.43,31.49,0
1,0.08,-22.65,31.49,0
1,0.09,26.16,31.49,0
1,0.08,32.36,31.49,0
1,0.08,-48.79,31.47,0
1,0.08,36.69,31.47,0
1,0.08,-9.83,31.47,0
1,0.09,9.23,31.47,0
1,0.08,10.65,31.47,0
1,0.08,-48.85,31.47,0
1,0.08,39.32,31.47,0
1,0.08,16.22,31.47,0
1,0.08,-4.09,31.45,0
1,0.08,-42.65,31.45,0
1,0.08,-1.65,31.45,0
1,0.08,32.35,31.45,0
1,0.08,20.3,31.43,0
1,0.08,-8.6,31.43,0
1,0.08,48.98,31.43,0
1,0.08,31.11,31.43,0
1,0.08,-13.8,31.41,0
1,0.08,105.04,31.41,0
1,0.08,-22.06,31.41,0
1,0.08,-47.62,31.41,0
1,0.08,-49.14,31.39,0
1,0.08,-11.81,31.39,0
1,0.08,23.8,31.39,0
1,0.08,-26.33,31.39,0
1,0.09,-63.92,31.39,0
1,0.09,50.41,31.39,0
1,0.08,21.63,31.39,0
1,0.08,-4.56,31.39,0
1,0.09,23.34,31.35,0
1,0.09,-13.63,31.35,0
1,0.08,24.6,31.35,0
1,0.08,7.1,31.35,0
1,0.09,-48.15,31.33,0
1,0.08,36.18,31.33,0
1,0.08,-7.49,31.33,0
1,0.08,-27.26,31.33,0
1,0.08,21.53,31.35,0
1,0.09,14.7,31.35,0
1,0.09,8.7,31.35,0
1,0.08,0.59,31.35,0
1,0.09,-19.43,31.33,0
1,0.08,35.01,31.33,0
1,0.08,16.32,31.33,0
1,0.08,-50.18,31.33,0
1,0.08,29.95,31.33,0
1,0.09,-9.84,31.33,0
1,0.09,-7.04,31.33,0
1,0.09,21.86,31.33,0
1,0.09,-28.68,31.31,0
1,0.09,21.67,31.31,0
1,0.09,5.58,31.31,0
1,0.09,-37.88,31.31,0
1,0.09,53.72,31.29,0
1,0.09,19.58,31.29,0
1,0.09,-51.61,31.29,0
1,0.09,17.82,31.29,0
1,0.08,-6.81,31.31,0
1,0.09,27.99,31.31,0
1,0.09,-133.47,31.31,0
1,0.09,-264.8,31.31,0
1,0.09,167.77,31.27,0
1,0.09,71.07,31.27,0
1,0.09,-124.77,31.27,0
1,0.09,-74.28,31.27,0
1,0.09,261.12,31.27,0
1,0.09,113.23,31.27,0
1,0.09,18.93,31.27,0
1,0.09,-1.77,31.27,0
1,0.09,-12.17,31.23,0
1,0.09,-4.88,31.23,0
1,0.09,-14.09,31.23,0
1,0.09,0.53,31.23,0
1,0.09,2.03,31.25,0
1,0.09,-12.75,31.25,0
1,0.0,-0.03,27.11,1
1,0.2,5.06,27.11,1
1,0.3,17.91,27.11,1
1,0.3,79.34,27.11,1
1,0.3,228.25,27.11,1
1,0.3,-486.5,27.11,1
1,0.3,-5.9,27.11,1
1,0.3,156.15,27.11,1
1,0.3,46.78,27.11,1
1,0.3,4.05,27.11,1
1,0.3,0.18,27.11,1
1,0.3,0.9,27.11,1
1,0.3,4.0,27.09,1
1,0.3,15.41,27.09,1
1,0.3,10.25,27.09,1
1,0.3,-14.03,27.09,1
1,0.3,13.49,27.09,1
1,0.3,50.54,27.09,1
1,0.3,-13.1,27.09,1
1,0.3,-100.26,27.09,1
1,0.3,19.23,27.09,1
1,0.3,8.59,27.09,1
1,0.3,26.01,27.09,1
1,0.3,16.23,27.09,1
1,0.3,-14.43,27.07,1
1,0.3,11.58,27.07,1
1,0.3,4.49,27.07,1
1,0.3,-13.62,27.07,1
1,0.3,9.02,27.07,1
1,0.3,5.57,27.07,1
1,0.3,-12.34,27.07,1
1,0.3,16.31,27.07,1
1,0.3,9.4,27.05,1
1,0.3,-30.58,27.05,1
1,0.3,9.02,27.05,1
1,0.3,18.39,27.05,1
1,0.3,-21.19,27.05,1
1,0.3,-7.99,27.05,1
1,0.3,3.07,27.05,1
1,0.31,13.0,27.05,1
1,0.3,15.48,27.03,1
1,0.3,0.56,27.03,1
1,0.3,-16.66,27.03,1
1,0.3,3.63,27.03,1
1,0.3,-8.21,27.03,1
1,0.3,-16.19,27.03,1
